狱中惊魂,"明朝末年，太监专权，朝纲混乱，朝廷专设阴司，监禁死囚,无数冤魂自此走上黄泉。狱吏长严天执掌阴司，与一众生死兄弟一同看管死囚，相安无事。一日，朝廷的重装铁皮囚车押来一个疯癫囚犯，自此以后，阴司之中冤魂骚动，恶灵毕现，诡异之事接连发生，阴司笼罩着血光之祸。严天惊觉事有蹊跷，决定以身试险，试图透过这个疯癫囚犯揭开尘封在阴司之中的惊天秘密。","惊悚,悬疑"
奇异博士,影片讲述了神经外科医生斯特兰奇因一次车祸失去了双手工作的能力，最终在法师帮助下拥有了超凡的能力，并对抗黑暗力量的故事。出色的外科手术专家史蒂芬·斯特兰奇（本尼迪克特·康伯巴奇 饰）本来事业有成，但在遭遇一次车祸悲剧后，双手再也无法握住手术刀，不能继续他的医生职业，为治疗手伤远赴尼泊尔的他在机缘巧合下遇到了莫度男爵（切瓦特·埃加福特 饰），在莫度男爵推动下他得到了至尊魔法师（蒂尔达·斯文顿 饰）的帮助。斯特兰奇把自己曾经的自负都抛在了一边，开始接触和学习鲜为人知的玄学、以及多维空间世界的学问。在纽约的格林威治村，变身奇异博士的斯特兰奇，化身为现实世界和多维空间的中间人，他利用超自然能力和神器来保护世界不被魔法和神秘力量侵袭。,"动作,冒险,奇幻"
捉迷藏,家伟（霍建华 饰）一家人住在一栋高级公寓中，事业有成的他，生活幸福安逸。一天，他听闻自己的哥哥失踪数月，下落不明。心怀隐秘的他来到哥哥所在的公寓，发现那里随处都被标记了意义不明的符号，之后在自己家门口也发现了相同的符号，危险慢慢向他一家逼近，有着洁癖的他精神几近崩溃……,"惊悚,悬疑,犯罪"
蜡笔小新:梦境世界大突击,不知从何时起，春日部市的居民们突然进入了一个神秘的“梦之世界”。在那个梦的国度里，他们可以随心所欲做渴望已久的美梦。比如风间彻（真柴摩利 配音）变成了政治家，樱田妮妮（林玉绪 配音）化身为万众瞩目的偶像，佐藤正男（一龙斋贞友 配音）拥有了心仪的漫画书，阿呆（佐藤智惠 配音）则变成了石头。而我们的野原新之助同学（矢岛晶子 配音）呢……不出意料，果然想方设法在做一些下流低级的梦。梦，是让人心动和魅惑的世界。从那一天起，市民们乘坐每个人都拥有的梦之珠自由翱翔，在极乐的梦想中流连忘返，夜夜笙歌。没过几天，名叫贯庭玉咲（川田妙子 配音）的女孩随父母（安田显 & 吉濑美智子 配音）搬到了春日部市，并转学来到新之助的班级。不知为什么，就从咲来的那天开始，市民们的美梦渐渐被噩梦所代替。梦境中，他们或者变老、或者爱情遭到背叛、或者受人欺凌。人们一个接一个从梦境中惊醒，而且遭受噩梦侵扰的人越来越多。各位可怕的是，市民们的现实生活也受到严重影响。可怕的危机袭来，春日部防卫队的各位只有携手击败这一切背后的阴谋者！,"剧情,喜剧,动画"
一句顶一万句,影片改编自刘震云获茅盾文学奖同名作，讲述了修鞋工牛爱国（毛孩 饰）在怀疑老婆庞丽娜（李倩 饰）劈腿后，开始跟踪求证，并深陷一场关于“抽刀杀人”、“借刀杀人”与“放下刀刃”的内心之争的故事。,
笑林足球,胜利足球俱乐部濒临破产，老板女儿小丽（周奇奇 饰）和队长森（信 饰）支撑着俱乐部。商业奇才恒（陈浩民 饰）的加入让众球员成为广告明星。胜利队财政好转，却陷入另一个更深的困境。最终，胜利队众球员为了梦想共同努力，在赛季末终得一胜。,
夺路而逃,电影《夺路而逃》讲述了不学无术醉生梦死的富二代周晓易（张一山 饰）在父亲去世以后经历了一场“超级宿醉”。醒来之后，发现自己与好友（何云伟 饰）开启了一段如梦非梦的离奇经历。在这段旅途中，他遇到了诸如三川国公主，流民（李菁 饰）等各式各样的人物，同时，懵懂中的他也被一双看不见的幕后之手推动着，在漩涡中他不断变换着不同的身份，经历了各种奇遇。而在这样的经历中，他也慢慢成长，赢得了众人的尊重，也终于理解了承担与责任的意义，同时，甜美的爱情在向他挥手......,"喜剧,动作,古装"
建党伟业,1911年10月10日，武昌起义掀开了中国历史新的篇章。在此之后，孙中山（马少骅 饰）回国，就任中华民国临时大总统，次年建立中华民国临时政府。然而封建王朝的没落，共和的表象下中华民族的磨难仍在继续。袁世凯（周润发 饰）篡得大总统之位，更与日本秘密签订二十一条，意在复辟帝制。在举国上下的声讨中，复辟闹剧黯然落幕，军阀混战又带来新的战火与伤痛。国难当头，爱国志士与热血青年无不痛彻心扉，义愤填膺。有的人一心效法西方先进的理念与制度，有的人尊古复礼、修缮己身。陈独秀（冯远征 饰）、李大钊（张嘉译 饰）、毛泽东（刘烨 饰）等则在十月革命的胜利中看到中华民族新的希望。这部影片讲述的，正是中国共产党诞生前夜的故事……,"剧情,历史"
外公芳龄38,生活的意外之喜，不是点外卖买一送一，而是“喜当爹”收获女儿一个，还附赠送外孙一枚。一个骚动的夜晚，黄金单身汉，38岁的电台明星主播何志武（佟大为 饰）打开家门，准备迎接女友“临幸”——然而门外站着的却是一对陌生母子，来自“胡建”的20岁未婚妈妈唐慧茹（陈妍希 饰）带着5岁的儿子唐家栋（吕云骢 饰）千里认亲上门造访，一口咬定他就是自己从未谋面的爸爸，从天而降的女儿和小萌孙打破了正值“芳龄”的何志武原本光鲜平静的生活，如遭雷劈的他一天之内先是升级做父亲，继而连升两级变身“最年轻外公”。奇葩三代同处一个屋檐下上演一幕幕父女掐架、祖孙斗法的爆笑拉锯战。在经历了各种爆笑囧事，擦出了无数火花之后，三人“同居”渐入佳境，未曾想母子俩的身份却令何志武的事业危机突然转向了始料未及的境地……,"剧情,喜剧,家庭"
勇士之门,废柴男孩机缘巧合地开启了异世界的大门，卷入了一场惊心动魄的种族斗争：武士（赵又廷 饰）和公主（倪妮 饰）与蛮人军队斗智斗勇，不仅如此，两位身负国家和种族命运的勇士还要面对凶悍的蛮人和伺机夺命的巨人、树妖等精怪。一次次险象环生的经历，他们一直在等待传说中的黑骑士到来……,
