FTITLE,FDESC,TYPE
幻城,测试修改test  幻雪帝国的皇子卡索，不喜欢过当上王而失去自由的生活，他的弟弟樱空释为了使自己的哥哥实现自己的愿望，就不顾一切地去争取，但是由于做法太极端，以至于在卡索不知情的情况下，将樱空释杀死了。卡索无奈就成了幻雪帝国的王，但随后他又知道了一切，万分后悔，便决定去幻雪神山复活樱空释。一路上艰难险阻，在战胜了东南西北四个护法之后，最后终于成功。但是，在卡索还没有见到樱空释的时候，圣战再一次的暴发了，火族的皇子率兵打败了冰族，而卡索也因绝望而自杀。但是谁知，那火族皇子见到卡索后恢复了所有的记忆，火族皇子就是卡索的弟弟樱空释……,"奇幻,偶像"
幻城 未删减版,冰族与火族是远古传说中的两大神族。在一次百年大战之后，火族大败，而冰族——幻雪王国王室的年轻一代仅剩下卡索和樱空释两位王子。在王位更迭过程中，卡索先后失去爱人和弟弟樱空释。登上王位后，卡索意外发现冰族圣地幻雪神山内有邪恶力量存在，他和六位身怀绝技的部族年轻人进入神秘莫测的幻雪神山，与占据神山的渊祭斗智斗法。然而当他们打败渊祭强大的四大护法之后，才发现一切都是渊祭布下的惊天阴谋。期间卡索也费尽艰辛寻找失散的爱人和弟弟，然而樱空释却被渊祭送入火族，记忆全失的他成为了火族王子。当冰族与火族再次爆发大战时，这对昔日的亲兄弟面临生死对决。最终关头正义唤醒良知，兄弟相认，主谋渊祭也得到了应有的惩罚。,"奇幻,偶像,情感"
幸福的旅程,本剧讲述的是发生在一艘名叫“幸福号”长途豪华客轮上，一段段感人至深的百姓故事。 　　 “幸福号”客轮实际是一个浓缩的社会，各种生活背景的人都可以集合到这条船上。全船人员共同生活在一起，人与人之间很容易发生各种各样的矛盾和故事，他们会共同面对困难，共同享受生活的快乐。船上每个人身上还会产生各种有趣的事情。该剧是以一条长途客轮作为故事的载体，客轮上形形色色的乘客，有着不同的社会经历。他们不断的带着各自的故事上船，又把在船上的美好的记忆带到各自生活中去。该剧的故事虽然发生在船上，但是，每个故事讲述的却是贴近老百姓生活的人和事。,"生活,喜剧,偶像"
狂花凋落,二十一世纪初，中国的宇宙飞船发射成功后，境外的间谍组织把目标锁定在我国著名航天专家、航天研究所所长陈冬生的身上……某日夜，在海迪娜国某处一个静谧的场所，一名境外间谍和一位神秘的女士在谈着一笔交易…… 　　一辆悍马吉普车从隐秘的所在疾驶而出……突然发生了爆炸…… 　　中国奉阳市国家安全局接到上级通报，总部设在海迪娜的MON国际间谍组织派遣间谍“雪绒花”前往中国企图窃取我航天“121”核心技术机密…… 　　在飞往奉阳市的国际航班里，出现了两位神秘的女士—50岁左右的海迪娜籍华人付东篱和较为年轻的周笑冰，她们因为一个突发事件而相识…… 　　国安侦查人员在国际航空航天展会上，发现了世界上最为先进的鼠标窃听装置……恰巧，陈冬生的女儿陈月娇今天举行婚礼，陈冬生及其女婿航天所研究员杜二鸣均在展馆封闭区，无法及时赶到婚礼现场。陈月娇一怒之下取消了婚礼。在展馆门前，陈冬生和杜二鸣又险遇车祸…… 　　周笑冰的行为很快引起我方的注意，他们把目标锁定在她的身上……国安侦查人员杨小帆巧妙地成为了她的健身教练。周笑冰在交往中和杜二鸣做起了生意……在杜二鸣的斡旋下，周笑冰终于赢得了与陈冬生单独见面的机会……可是在即将被我安全人员抓捕时却死于急性心肌梗塞…… 　　付东篱此行的目的是与奉阳市政府进行投资合作洽谈。她与随从贺涛在奉阳市著名律师林国学迎接下来到奉阳。她意外得知，她与昔日的知青恋人陈冬生的女儿陈月娇就在奉阳，她颇感意外，林国学也感到奇怪，怎么出现了两个月娇？ 　　陈冬生一直以为付东篱早已过世，却惊讶的在报纸上看到署名付东篱的《寻人启事》……她向他讲诉了自己当年遇救的经历……并送给他一块情侣手表。 　　付东篱和陈冬生、林国学曾经是儿时的玩伴，同窗好友和共患难的知青，当年，陈冬生是被付东篱和林国学骗上了火车下乡到了边境地区的奇玛村……在一次突发事件中，他们产生了恋情…… 　　奇玛村邻村的村长鲍大胡子看上付东篱，李能达夫妇决定认付东篱为干女儿……两村因水渠事件发生械斗，各有死伤，调查组进驻奇玛村，他们发现，付东篱是幕后策划者……付东篱把女儿月娇寄养在李能达家，仓皇出逃…… 　　付东篱了解到，与她在国外共同生活三十多年的“女儿”， 竟是她知青年代的恩人奇玛村村长李能达和郭淑珍的女儿李奇玛。 　　付东篱决定回海迪娜去接李奇玛让她和干妈郭淑珍团聚。临行前的夜晚她回想起当年的往事…… 　　二十世纪七十年代初一个漆黑的雪夜，她被追赶的无路可逃……纵身跳入边境界河……而后，被一艘境外军舰救走……经过各种考验……他们发现她具有间谍的潜质，随即把她送到总部设在海迪娜国的MON国际间谍组织。 　　他们决定对她进行重点培养，在向她袒露实情的时候，遭到了她的拒绝，一个戴着桃木锁小女孩的出现改变了她的初衷，她加入MON间谍组织。接着被送往特维国际间谍学校进行全方位的培训…… 　　付东篱经历了残酷的受训过程……同时熟识了学校门前中国餐馆的老板贺涛，并且与同为学员的兰妮产生了一定的友谊。而她们的教官是一位师之严厉又颇具绅士风度的马力德先生，由于她的出色表现，他对她产生了好感…… 　　林国学接到上级通报，境外负责“雪绒花”计划的指挥者是MON间谍组织的马力德。他拿着一张照片到医院请父亲林永胜确认照片上的人是不是他父亲念念不忘的老对手……林永胜是一名老国安战士，他向林国学讲述了烟斗的来历……并告诫林国学，所面对的对手不是一般层面的间谍。 　　付东篱回到海迪娜就接李奇玛到中国的问题和马力德进行了谈判…… 　　为了让郭淑珍对失散三十多年的女儿预先有个了解，她和陈冬生一起去了奇玛村……付东篱在奇玛村建起了葵花籽油加工厂，捐赠了希望小学…… 　　李奇玛即将成行时，她的护照被收了回去，暂时来不了中国。付东篱把这一消息告诉了贺涛并表示无法面对干妈……付东篱更加关爱陈月娇，她向陈冬生提出要给月娇重办一个有母亲参加的像样的婚礼，得到了陈冬生的认同。 　　付东篱收到了MON间谍组织让其加紧行动的密令。她利用亲情做筹码，从改造陈冬生的思想和思维方式入手，以最终达到将他诱骗到国外的目的。陈冬生办理了前往海迪娜的因私护照…… 　　同时，陈冬生收到了由航天工业部转发的哥第兰国际航天会议的邀请函……他兴致勃勃地到商场购买了金戒指准备在飞机上向付东篱求婚。 　　付东篱的一举一动早已进入我国家安全部门的视野，她送给陈冬生的那块手表是一个现代化的间谍工具…… 　　陈冬生接到市里的会议通知……让他万万没有想到的是代表国安和他谈话，并告知付东篱是来窃取我国“121”航天技术的间谍的是林国学……而付东篱窃听到的是陈冬生参加的普通航天工作会议，奉阳国家安全局巧妙地骗过了她。 　　陈冬生和付东篱在众人的送行下来到机场，却接到了郭淑珍病危的消息…… 　　陈冬生情绪波动很大，无论家里还是单位经常发无名火……林国学找到陈冬生……让他翻阅,"犯罪,偶像"
麻辣变形计,一次偶然的机会性感女神关小迪接触到保镖行业，并在机缘巧合下进入保镖培训中心，进而结识了其余四位各怀绝技的美少女。异乎寻常的魔鬼训练中，关小迪和她的小伙伴们身体被击垮、自尊被打碎、人格被重塑，从不谙世事的叛逆少女逐渐成长为合格的女保镖。历经磨难、浴火重生的五朵姐妹花在终极考核中遇到了突发事件，必须有一个人牺牲掉自己的考试，才可能完成任务。关键时刻，关小迪牺牲了自己，帮助队友们完成了任务。考核结束，面对四个成功毕业的战友，坚强的关小迪哭了，严厉的魔鬼教官却笑了。原来自我牺牲才是最重要的考核。关小迪以第一名的成绩和小伙伴一起通过了最后的考核，成了一名真正的保镖。由此五朵金花将开启一段关于麻辣女保镖的传奇。,"生活,偶像,情感"
一吻定情2～Love in Tokyo,直树和琴子结婚当天，遇见了千年难遇的流星雨，流星雨的到来，为他们的爱情又拉开了一个新的帷幕。直树夫妇婚后的生活又将会是如何的呢……,"生活,喜剧,偶像,情感"
米粒儿也疯狂,青春偶像喜剧《米粒儿也疯狂》共分为11集，每集一个独立的故事和独立的人物关系，包含了普通人励志逆袭、新时代婆媳战争、蝴蝶效应、可怕的女性生物、男男CP、职场无间道、两性夫妻生活、科幻外星入侵、西游、美人鱼等经典影视故事人物乱入等等。 　　本剧集设置了高密度的笑点和包袱，在轻松、搞笑、娱乐观众的同时也加入了积极探讨人生的内涵段子。在多机一体，潮流、审美瞬息万变的新媒体时代，努力为疲于生活、事业、爱情的你呈现一份饕餮盛宴。,"喜剧,偶像"
奔跑吧 d 丝,《奔跑吧 d 丝》是泉城有约发行的一部搞笑段子网络剧，情境涵盖办公室、健身房、水疗会所、餐厅、咖啡厅、KTV、酒吧、电影院、超市等地方，影片主要推崇一种时尚、乐活、潮流的理念，通过搞笑来演绎生活的反差，传递阳光、励志、正能量的精神。,"生活,喜剧"
杨光的快乐生活 第一部,家住天津的大龄青年杨光（杨议 饰）和老父亲杨丰年（杨少华 饰）住在市中心一幢老旧的二层小楼里，他原本在铅笔厂工作，收入一般，好在稳定平和，却不知怎么稀里糊涂就下岗成了无业人员。本来就和女朋友夏丽（李立君 饰）的关系捉摸不定，若即若离，这一来更是为了美好的婚姻前程蒙上了阴影。为了谋求生计，杨光开始四下寻找工作，在此期间却遭遇了无数离奇有趣的人和事，比如仗义善良的老板黄大发、奸诈狡猾的碰瓷者（赵津生 饰）、妈妈例儿超多的刺儿头老姑（胡可瑜 饰），令杨光的生活充满了几多麻烦与欢乐…… 　　本片为杨议父子领衔主演的情景喜剧第一部。,"生活,喜剧"
鸳鸯河,老师——这一人类灵魂的工程师，一个平凡而伟大的职业。在中国九百六十万平方公里的广袤土地上，奋斗着无数个兢兢业业的“灵魂导师”。特别是大多数的乡村教师，拿着微薄的收入，却付出自己全部的心血与汗水。为了让每一个孩子能多识一个字、多读一天书，一步又一步的奔走在崎岖的山间小路上。可是纵观中国的电视剧历史，对他们的描述却是少之又少，电视剧《鸳鸯河》的立意正是在此，通过对南方某乡村老师一生对教育事业的执着与坚持，为观众描画了一幅中国教育发展史的壮美画卷。,"生活,情感"
