惊悚,狱中惊魂,"明朝末年，太监专权，朝纲混乱，朝廷专设阴司，监禁死囚,无数冤魂自此走上黄泉。狱吏长严天执掌阴司，与一众生死兄弟一同看管死囚，相安无事。一日，朝廷的重装铁皮囚车押来一个疯癫..."
动作,奇异博士,影片讲述了神经外科医生斯特兰奇因一次车祸失去了双手工作的能力，最终在法师帮助下拥有了超凡的能力，并对抗黑暗力量的故事。出色的外科手术专家史蒂芬·斯特兰奇（本尼迪克特·康伯...
惊悚,捉迷藏,家伟（霍建华 饰）一家人住在一栋高级公寓中，事业有成的他，生活幸福安逸。一天，他听闻自己的哥哥失踪数月，下落不明。心怀隐秘的他来到哥哥所在的公寓，发现那里随处都被标记了意...
剧情,蜡笔小新:梦境世界大突击,不知从何时起，春日部市的居民们突然进入了一个神秘的“梦之世界”。在那个梦的国度里，他们可以随心所欲做渴望已久的美梦。比如风间彻（真柴摩利 配音）变成了政治家，樱田妮妮（林...
喜剧,夺路而逃,电影《夺路而逃》讲述了不学无术醉生梦死的富二代周晓易（张一山 饰）在父亲去世以后经历了一场“超级宿醉”。醒来之后，发现自己与好友（何云伟 饰）开启了一段如梦非梦的离奇经历。...
剧情,建党伟业,1911年10月10日，武昌起义掀开了中国历史新的篇章。在此之后，孙中山（马少骅 饰）回国，就任中华民国临时大总统，次年建立中华民国临时政府。然而封建王朝的没落，共和的表象下中华民...
剧情,外公芳龄38,生活的意外之喜，不是点外卖买一送一，而是“喜当爹”收获女儿一个，还附赠送外孙一枚。一个骚动的夜晚，黄金单身汉，38岁的电台明星主播何志武（佟大为 饰）打开家门，准备迎接女友...
冒险,隔离岛,在一座与世隔绝的孤岛上，曾经隔离着上百名麻风病患者，三十年前的一场大火，将这里的麻风病院化为灰烬，大火本身已渐成传说。三十年后，警校学生殷浩（张一山 饰）为在自己的女朋友...
剧情,不离不弃,中了一亿彩票的陶彦达（袁成杰 饰）在婚期临近的情况下突然逃婚。陶彦达的未婚妻叶小眉（江若琳 饰）源于对爱的执着相信陶彦达的消失肯定是有一个为了他们爱情更好的理由，而且陶彦达...
剧情,我不是潘金莲,影片讲述一个普通的农村妇女李雪莲（范冰冰 饰），为了纠正一句话，与上上下下、方方面面打了十年交道。打交道的过程中，她没想到一件事变成了另一件事，接着变成了第三件事。十年过...
